name,id,genre,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,alt-rock,Red Hot Chili Peppers,83.0,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4
Say It Ain't So,6VoIBz0VhCyz7OdEoRYDiA,alt-rock,Weezer,78.0,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,1
Last Resort,5W8YXBz9MTIDyrpYaCg2Ky,alt-rock,Papa Roach,83.0,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,3
Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,alt-rock,WALK THE MOON,84.0,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,1
"You're Gonna Go Far, Kid",6TfBA04WJ3X1d1wXhaCFVT,alt-rock,The Offspring,81.0,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,1
Heart-Shaped Box,11LmqTE2naFULdEP94AUBa,alt-rock,Nirvana,80.0,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,2
Chop Suey!,2DlHlPMa4M17kufBvI2lEN,alt-rock,System Of A Down,82.0,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,2
Island In The Sun,2MLHyLy5z5l5YRp7momlgw,alt-rock,Weezer,79.0,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,3
Blood // Water,7clyJIrLkEbXUDwj1tC9zz,alt-rock,grandson,74.0,0.504,0.891,6,-5.632,0,0.137,0.00163,0.00199,0.148,0.628,153.988,3
Electric Feel,3FtYbEfBqAlGO46NUDQSAt,alt-rock,MGMT,79.0,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,1
Animal,1fBl642IhJOE5U319Gy2Go,alt-rock,Neon Trees,74.0,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039,2
Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,alt-rock,American Authors,81.0,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,1
Stargazing,0VF7YLIxSQKyNiFL3X6MmN,alt-rock,The Neighbourhood,79.0,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,2
If the World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,alt-rock,JP Saxe,82.0,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,4
Monster,2UREu1Y8CO4jXkbvqAtP7g,alt-rock,Skillet,78.0,0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,1
Take Me Out,20I8RduZC2PWMWTDCZuuAN,alt-rock,Franz Ferdinand,81.0,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,3
No Rain,6txWz9UapYHVxEd7dDIHXT,alt-rock,Blind Melon,77.0,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,4
You Get Me So High,7zwn1eykZtZ5LODrf7c0tS,alt-rock,The Neighbourhood,79.0,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,3
Paralyzer,28IEbk5a7twNTbUEvWslUb,alt-rock,Finger Eleven,76.0,0.644,0.939,11,-3.486,0,0.0456,0.157,0.0,0.233,0.861,106.031,3
Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,alt-rock,Red Hot Chili Peppers,82.0,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,1
Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,alt-rock,Soundgarden,78.0,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,2
Californication,48UPSzbZjgc449aqz8bxox,alt-rock,Red Hot Chili Peppers,83.0,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,3
Iris,6Qyc6fS4DsZjB2mRW9DsQs,alt-rock,The Goo Goo Dolls,81.0,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,2
Semi-Charmed Life,42et6fnHCw1HIPSrdPprMl,alt-rock,Third Eye Blind,76.0,0.64,0.864,7,-6.576,1,0.0314,0.00832,0.0,0.123,0.701,102.026,1
Fake It,4eAwB5pnKFTmsgc3zWoYO0,alt-rock,Seether,76.0,0.611,0.95,8,-3.509,1,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078,1
Nuestra Canción,5reQI13tWWYDLMrGcUF4Mk,alt-rock,Monsieur Periné,84.0,0.906,0.731,6,-7.021,0,0.0977,0.426,4.55e-06,0.0853,0.794,106.995,3
Dragula,6Nm8h73ycDG2saCnZV8poF,alt-rock,Rob Zombie,76.0,0.591,0.963,0,-6.489,0,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03,3
Somebody Else,5hc71nKsUgtwQ3z52KEKQk,alt-rock,The 1975,75.0,0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,1
All Star,3cfOd4CMv2snFaKAnMdnvK,alt-rock,Smash Mouth,81.0,0.731,0.867,11,-5.881,1,0.032,0.0395,0.0,0.0861,0.776,104.019,1
Kids,1jJci4qxiYcOHhQR247rEU,alt-rock,MGMT,80.0,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,2
Killing In The Name,59WN2psjkt1tyaxjspN8fp,alt-rock,Rage Against The Machine,81.0,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,0
Stacy's Mom,27L8sESb3KR79asDUBu8nW,alt-rock,Fountains Of Wayne,76.0,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,3
What You Know,3UjtIALeg72qmJiKPWBvM3,alt-rock,Two Door Cinema Club,73.0,0.561,0.741,6,-4.239,0,0.0419,0.000715,1.4e-05,0.0822,0.776,139.001,3
Man in the Box,6gZVQvQZOFpzIy3HblJ20F,alt-rock,Alice In Chains,75.0,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,1
Change (In the House of Flies),51c94ac31swyDQj9B3Lzs3,alt-rock,Deftones,77.0,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,2
Choke,37mfTcSlX60JtAvAETytGs,alt-rock,I DONT KNOW HOW BUT THEY FOUND ME,76.0,0.516,0.85,4,-3.909,0,0.0706,0.00139,0.0,0.296,0.583,120.324,3
Mr. Jones,5DiXcVovI0FcY2s0icWWUu,alt-rock,Counting Crows,79.0,0.578,0.817,0,-6.542,1,0.0363,0.183,3.06e-06,0.285,0.726,141.621,1
How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,alt-rock,Nickelback,81.0,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,2
Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,alt-rock,Empire of the Sun,80.0,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,3
Afraid,7brQHA2CgQpcMBiOlfiXYb,alt-rock,The Neighbourhood,79.0,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,3
Headstrong,1AEYT6VxrxXPMoQUxsY0E4,alt-rock,Trapt,75.0,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,2
When You Were Young,70wYA8oYHoMzhRRkARoMhU,alt-rock,The Killers,78.0,0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,2
Bullet With Butterfly Wings - Remastered 2012,6GtX0jaNL8IjVQfrDBx81z,alt-rock,The Smashing Pumpkins,75.0,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,5
Snow (Hey Oh),2aibwv5hGXSgw7Yru8IYTO,alt-rock,Red Hot Chili Peppers,82.0,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,2
Smooth Criminal,5z6xHjCZr7a7AIcy8sPBKy,alt-rock,Alien Ant Farm,78.0,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,3
My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,alt-rock,Lit,73.0,0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408,1
Drive,7nnWIPM5hwE3DaUBkvOIpy,alt-rock,Incubus,76.0,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,3
Talk Too Much,4djIFfof5TpbSGRZUpsTXq,alt-rock,COIN,75.0,0.598,0.888,4,-5.119,1,0.0807,0.00947,0.0,0.347,0.482,103.966,1
Buddy Holly,3mwvKOyMmG77zZRunnxp9E,alt-rock,Weezer,75.0,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,1
Softcore,2K7xn816oNHJZ0aVqdQsha,alt-rock,The Neighbourhood,80.0,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,3
The Kill,0lP4HYLmvowOKdsQ7CVkuq,alt-rock,Thirty Seconds To Mars,76.0,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,2
The Beach,2u0CelO5c81XS7z3dGpHbS,alt-rock,The Neighbourhood,79.0,0.245,0.64,2,-7.426,0,0.0608,0.131,8.11e-06,0.0766,0.105,135.739,2
Supermassive Black Hole,3lPr8ghNDBLc2uZovNyLs9,alt-rock,Muse,79.0,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,1
Santa Monica,37EJtTS7jT5WUyXGZzrwnI,alt-rock,Everclear,73.0,0.491,0.942,7,-5.333,1,0.132,0.156,0.0,0.367,0.387,100.446,2
Unsteady,7lGKEWMXVWWTt3X71Bv44I,alt-rock,X Ambassadors,77.0,0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,2
Lips Of An Angel,40LQiUUUKXVGyNs09lHVjW,alt-rock,Hinder,75.0,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,2
Scar Tissue,1G391cbiT3v3Cywg8T7DM1,alt-rock,Red Hot Chili Peppers,80.0,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,1
Dani California,10Nmj3JCNoMeBQ87uw5j8k,alt-rock,Red Hot Chili Peppers,79.0,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,1
Where Is My Mind? - Remastered,7wCmS9TTVUcIhRalDYFgPy,alt-rock,Pixies,79.0,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,4
The Anthem,0BRHnOFm6sjxN1i9LJrUDu,alt-rock,Good Charlotte,76.0,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,2
Animal I Have Become,56sk7jBpZV0CD31G9hEU3b,alt-rock,Three Days Grace,74.0,0.553,0.853,8,-3.668,1,0.0339,0.000684,0.0,0.126,0.506,122.023,1
Cough Syrup,1UqhkbzB1kuFwt2iy4h29Q,alt-rock,Young the Giant,73.0,0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,3
Bulls On Parade,0tZ3mElWcr74OOhKEiNz1x,alt-rock,Rage Against The Machine,76.0,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,2
Loser,5PntSbMHC1ud6Vvl8x56qd,alt-rock,Beck,72.0,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,1
Lithium,2YodwKJnbPyNKe8XXSE9V7,alt-rock,Nirvana,72.0,0.678,0.656,7,-6.41,1,0.0381,0.00174,0.0,0.0631,0.485,123.207,1
Float On,2lwwrWVKdf3LR9lbbhnr6R,alt-rock,Modest Mouse,73.0,0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,1
Losing My Religion,31AOj9sFz2gM0O3hMARRBx,alt-rock,R.E.M.,84.0,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,3
The Pretender,7x8dCjCr0x6x2lXKujYD34,alt-rock,Foo Fighters,79.0,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,2
Bitter Sweet Symphony,57iDDD9N9tTWe75x6qhStw,alt-rock,The Verve,82.0,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,2
The Reason,77loZpT5Y5PRP1S451P9Yz,alt-rock,Hoobastank,82.0,0.472,0.671,4,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,82.952,2
Freak On a Leash,6W21LNLz9Sw7sUSNWMSHRu,alt-rock,Korn,77.0,0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293,2
Otherside,64BbK9SFKH2jk86U3dGj2P,alt-rock,Red Hot Chili Peppers,81.0,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,2
Bodies,7CpbhqKUedOIrcvc94p60Y,alt-rock,Drowning Pool,77.0,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,3
Beverly Hills,1yKu2MhpwzDXXH2tzG6xoa,alt-rock,Weezer,73.0,0.693,0.823,5,-3.761,1,0.0726,0.0932,0.0,0.328,0.741,87.904,1
Toxicity,0snQkGI5qnAmohLE7jTsTn,alt-rock,System Of A Down,80.0,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,2
Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,alt-rock,Jet,77.0,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,1
Happy Pills,3zjjzKg16tczCMwckGKGuH,alt-rock,Weathers,76.0,0.521,0.885,4,-4.934,0,0.125,0.00327,0.00904,0.324,0.344,115.985,3
Interstate Love Song - 2019 Remaster,6qLEOZvf5gI7kWE63JE7p3,alt-rock,Stone Temple Pilots,74.0,0.215,0.927,9,-7.327,1,0.0452,0.000273,0.00661,0.126,0.49,170.814,2
Like a Stone,3YuaBvuZqcwN3CEAyyoaei,alt-rock,Audioslave,78.0,0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849,3
broken,6XcfKZvJio9Z0fQy11GnNX,alt-rock,lovelytheband,74.0,0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,1
She Hates Me,16DhvbuyvJob4Q9GHNYu2n,alt-rock,Puddle Of Mudd,73.0,0.58,0.748,4,-5.433,1,0.0323,0.00935,0.0,0.753,0.584,109.781,2
Fade Into You,1LzNfuep1bnAUR9skqdHCK,alt-rock,Mazzy Star,76.0,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,4
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,alt-rock,KALEO,80.0,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,3
Rockstar,6n9yCXvLhnYMgJIiIcMu7D,alt-rock,Nickelback,70.0,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,2
The Kids Aren't Alright,4EchqUKQ3qAQuRNKmeIpnf,alt-rock,The Offspring,80.0,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,1
Shine,77YKoNCjP5hWqiXMRG2839,alt-rock,Collective Soul,73.0,0.543,0.423,6,-8.797,1,0.0282,0.295,0.0862,0.152,0.355,150.132,4
Blurry,6lSr3iZTC144PKhvbPFzMp,alt-rock,Puddle Of Mudd,68.0,0.431,0.938,3,-4.507,0,0.0542,0.00805,0.0,0.138,0.523,157.462,2
Pretty Boy,7IL8PSVwLOJxqYne6azxQv,alt-rock,The Neighbourhood,75.0,0.578,0.386,6,-11.464,1,0.0278,0.208,0.0453,0.307,0.569,154.902,4
Click Click Boom,2CGDxXXYbkPOyRXHzQbqkT,alt-rock,Saliva,73.0,0.609,0.935,6,-2.941,1,0.0479,0.0029,0.000359,0.188,0.498,95.957,1
Renegades,0fYVliAYKHuPmECRs1pbRf,alt-rock,X Ambassadors,79.0,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,1
Self Esteem,1FkoVC85Ds3mFoK0fVqEqP,alt-rock,The Offspring,78.0,0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56,1
I Hate Everything About You,0M955bMOoilikPXwKLYpoi,alt-rock,Three Days Grace,75.0,0.498,0.83,6,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342,3
The Red,1gyee1JuFFiP476LQpRMYU,alt-rock,Chevelle,71.0,0.509,0.843,1,-3.318,0,0.0488,0.000671,0.000803,0.348,0.332,140.055,2
It's Been Awhile,25CMmGsl22APKhfuj4Tp7j,alt-rock,Staind,69.0,0.509,0.774,6,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,2
Sabotage,0Puj4YlTm6xNzDDADXHMI9,alt-rock,Beastie Boys,75.0,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,2
Reptilia,57Xjny5yNzAcsxnusKmAfA,alt-rock,The Strokes,77.0,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,5
Closer,2oDqmfa2g8W893LlwJG1qu,alt-rock,Nine Inch Nails,69.0,0.547,0.714,10,-8.628,0,0.044,0.000242,0.636,0.122,0.541,89.996,5
Hasta la Raíz,3lGMtkONrZdJ8kTCg6KIFf,alt-rock,Natalia Lafourcade,85.0,0.585,0.643,3,-8.392,1,0.0395,0.201,0.000306,0.144,0.592,152.98,1
If You Love Her,727Z2S2mtNH46CbP9EWPwY,alt-rock,Forest Blakk,77.0,0.286,0.445,6,-8.087,1,0.0347,0.355,0.0,0.114,0.278,50.827,4
Inside Out,4GiVcDqNQI0fc0yYuRGH9m,alt-rock,Eve 6,69.0,0.483,0.818,11,-7.666,1,0.0444,0.114,0.0,0.367,0.691,175.668,2
Rooster,0wvIGFIgbyz4JNwQhZgTv2,alt-rock,Alice In Chains,71.0,0.271,0.551,3,-8.46,1,0.0272,0.0307,0.000581,0.118,0.2,143.899,2
Sex & Candy,5mkGfmJGFZpwK9nA5amOhv,alt-rock,Marcy Playground,71.0,0.67,0.558,2,-9.159,1,0.0251,0.238,0.0,0.106,0.63,80.511,1
Young Folks,4dyx5SzxPPaD8xQIid5Wjj,alt-rock,Peter Bjorn and John,77.0,0.699,0.812,0,-6.005,1,0.0377,0.0164,0.000763,0.105,0.662,138.185,1
In Bloom,30HCB1FoE77IfGRyNv4eFq,alt-rock,Nirvana,69.0,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,2
My Own Summer (Shove It),1158ckiB5S4cpsdYHDB9IF,alt-rock,Deftones,74.0,0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,1
Hero,4CbKVDZkYKdv69I4bCaKUq,alt-rock,Skillet,74.0,0.533,0.967,1,-2.543,1,0.0995,0.00791,0.0,0.336,0.782,142.018,2
Rx (Medicate),2UZtI2HUyLRzqBjodvcUmY,alt-rock,Theory of a Deadman,71.0,0.639,0.71,1,-7.445,1,0.0275,0.0133,0.0,0.118,0.378,119.989,1
Learn to Fly,5OQsiBsky2k2kDKy2bX2eT,alt-rock,Foo Fighters,77.0,0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,2
Last Nite,3SUusuA9jH1v6PVwtYMbdv,alt-rock,The Strokes,68.0,0.624,0.899,0,-5.709,1,0.0296,0.0221,0.000137,0.0975,0.79,104.061,1
Blister In The Sun,7jIAttgQTpLDoNtykIQXjH,alt-rock,Violent Femmes,73.0,0.726,0.537,0,-8.896,1,0.114,0.316,0.0,0.0707,0.882,96.889,1
Would?,5sFDReWLrZHLFZFjHsjUTS,alt-rock,Alice In Chains,73.0,0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36e-05,0.091,0.586,100.675,2
Brazil,4sNG6zQBmtq7M8aeeKJRMQ,alt-rock,Declan McKenna,74.0,0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,1
First,3omXshBamrREltcf24gYDC,alt-rock,Cold War Kids,71.0,0.468,0.692,2,-4.015,1,0.0295,0.0202,2.39e-06,0.523,0.561,78.009,1
One Headlight,0z1b34WikhOH9ZxU8QDWcv,alt-rock,The Wallflowers,74.0,0.701,0.539,2,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,1
Mother,7txxAtOMwLLnQTpKeBL6bp,alt-rock,Danzig,75.0,0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,2
Unfair,0xD23i0X1WjqMSYIxRfO80,alt-rock,The Neighbourhood,76.0,0.477,0.572,8,-7.328,1,0.0319,0.00708,0.784,0.144,0.0414,194.033,5
Feel Invincible,0i8JFpqe9cKwnrcvoNgl1L,alt-rock,Skillet,75.0,0.603,0.886,5,-3.777,0,0.0837,0.00045,0.0,0.26,0.395,126.025,3
Best of You,5FZxsHWIvUsmSK1IAvm2pp,alt-rock,Foo Fighters,77.0,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,2
Hard To Handle,05NYcsjJwOYq4jIiKPVj9p,alt-rock,The Black Crowes,74.0,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,1
Here Without You,3NLrRZoMF0Lx6zTlYqeIo4,alt-rock,3 Doors Down,77.0,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,3
Unstoppable,6rrKbzJGGDlSZgLphopS49,alt-rock,The Score,77.0,0.485,0.843,1,-3.993,0,0.0467,0.00129,1.01e-05,0.14,0.602,78.001,3
Play with Fire (feat. Yacht Money),7vguMCv8uVuZLiQJ156u3Z,alt-rock,Sam Tinnesz,78.0,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,3
Undercover Martyn,0Hrd6CSafHHqKptyFppmqH,alt-rock,Two Door Cinema Club,69.0,0.442,0.872,2,-5.072,1,0.123,0.00025,1.74e-05,0.0602,0.568,159.867,2
You And Me,0815caqt2Lytro5EIzMufT,alt-rock,Lifehouse,77.0,0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,2
Uprising,4VqPOruhp5EdPBeR92t6lQ,alt-rock,Muse,78.0,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,1
B.Y.O.B.,0EYOdF5FCkgOJJla8DI2Md,alt-rock,System Of A Down,77.0,0.538,0.981,1,-2.688,0,0.14,0.00662,0.0,0.219,0.711,101.414,3
Remedy,5ynxx6zC4dgzsMHLYQ04Dc,alt-rock,Seether,72.0,0.55,0.952,8,-4.664,1,0.0924,0.000193,0.000666,0.0614,0.391,127.804,2
All Around Me,1zN6ynJG4PdR61YWv4PQ3Y,alt-rock,Flyleaf,68.0,0.473,0.871,9,-4.893,1,0.0456,0.0216,0.0,0.0525,0.47,146.975,2
Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,alt-rock,Blur,79.0,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.0071,0.0754,0.918,129.804,1
Nutshell,2JuasWPUodaUxf5nwNpciQ,alt-rock,Alice In Chains,72.0,0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136,4
Riot,1Q2fYlSdwuutWj3QplhY9q,alt-rock,Three Days Grace,71.0,0.185,0.948,8,-3.892,1,0.147,0.0104,0.0,0.105,0.316,196.578,2
Sextape,1EryAkZ0VHstC6haIxVBiE,alt-rock,Deftones,73.0,0.367,0.634,5,-6.475,1,0.027,0.000824,0.0759,0.116,0.0964,89.981,2
I Stand Alone,44NRdYQw7P0GWuiunRv3hr,alt-rock,Godsmack,70.0,0.217,0.92,8,-4.479,1,0.0628,2.86e-05,0.0,0.102,0.376,167.169,2
